nm_ema;fc_obsrvcion;tmp_mxma;tmp_mnma;hmd_rel_mdia;rdcion_slar
Bugalagrande;2011-04-05;25.7;19.6;187.0;187.0
La Paila;2011-04-05;25.2;18.0;95.0;233.0
Bugalagrande;2011-04-06;30.2;19.4;88.0;436.0
La Paila;2011-04-06;28.3;18.9;86.0;337.0
Bugalagrande;2011-04-07;28.2;19.8;89.0;445.0
La Paila;2011-04-07;27.3;18.5;86.0;370.0
Bugalagrande;2011-04-08;30.5;19.2;87.0;483.0
La Paila;2011-04-08;28.7;17.6;85.0;402.0
Bugalagrande;2011-04-09;28.9;19.0;93.0;410.0
La Paila;2011-04-09;27.3;17.8;92.0;292.0
Bugalagrande;2011-04-10;25.7;18.8;94.0;283.0
La Paila;2011-04-10;24.9;17.7;278.0;278.0
Bugalagrande;2011-04-11;28.2;19.6;92.0;414.0
La Paila;2011-04-11;27.7;18.8;87.0;385.0
Bugalagrande;2011-04-12;25.8;19.1;94.0;265.0
La Paila;2011-04-12;26.0;18.2;90.0;229.0
Bugalagrande;2011-04-13;30.4;19.1;86.0;525.0
La Paila;2011-04-13;28.7;18.1;83.0;408.0
Bugalagrande;2011-04-14;31.2;17.9;86.0;519.0
La Paila;2011-04-14;30.3;17.2;83.0;428.0
Bugalagrande;2011-04-15;25.7;19.6;257.0;257.0
La Paila;2011-04-15;25.3;18.4;94.0;187.0
Bugalagrande;2011-04-16;29.3;19.2;92.0;402.0
La Paila;2011-04-16;27.8;18.1;90.0;377.0
Bugalagrande;2011-04-17;29.0;19.2;91.0;410.0
La Paila;2011-04-17;27.8;18.2;89.0;319.0
Bugalagrande;2011-04-18;27.8;19.4;93.0;333.0
La Paila;2011-04-18;27.3;18.4;95.0;293.0
Bugalagrande;2011-04-19;28.4;19.3;89.0;364.0
La Paila;2011-04-19;27.5;18.2;88.0;340.0
Bugalagrande;2011-04-20;28.0;19.0;91.0;333.0
La Paila;2011-04-20;27.1;17.8;87.0;357.0
Bugalagrande;2011-04-21;29.6;18.5;87.0;523.0
La Paila;2011-04-21;28.7;17.8;84.0;428.0
Bugalagrande;2011-04-22;28.3;19.0;91.0;378.0
La Paila;2011-04-22;26.9;17.9;88.0;275.0
Bugalagrande;2011-04-23;30.8;17.4;88.0;459.0
La Paila;2011-04-23;29.5;16.5;87.0;367.0
Bugalagrande;2011-04-24;30.8;19.0;87.0;467.0
La Paila;2011-04-24;29.5;18.0;85.0;429.0
Bugalagrande;2011-04-25;28.4;19.8;90.0;340.0
La Paila;2011-04-25;26.4;19.4;90.0;251.0
Bugalagrande;2011-04-26;31.0;19.0;89.0;472.0
La Paila;2011-04-26;30.9;18.4;87.0;414.0
Bugalagrande;2011-04-27;30.0;19.2;85.0;498.0
La Paila;2011-04-27;28.6;17.9;83.0;411.0
Bugalagrande;2011-04-28;27.9;18.8;93.0;265.0
La Paila;2011-04-28;27.2;18.6;90.0;244.0
Bugalagrande;2011-04-29;30.4;19.0;88.0;140.0
La Paila;2011-04-29;29.3;18.6;85.0;360.0
Bugalagrande;2011-04-30;31.1;19.4;84.0;118.0
La Paila;2011-04-30;29.6;18.4;84.0;334.0
Bugalagrande;2011-05-01;31.6;19.7;90.0;105.0
La Paila;2011-05-01;29.6;19.2;87.0;278.0
Bugalagrande;2011-05-02;32.1;18.1;83.0;133.0
La Paila;2011-05-02;30.5;17.7;82.0;439.0
Bugalagrande;2011-05-03;23.4;20.1;66.1;66.1
La Paila;2011-05-03;23.0;19.4;67.4;67.4
Bugalagrande;2011-05-04;30.9;19.8;86.0;165.0
La Paila;2011-05-04;30.0;19.4;86.0;363.0
Bugalagrande;2011-05-05;30.0;18.4;86.0;109.0
La Paila;2011-05-05;28.9;17.9;84.0;319.0
Bugalagrande;2011-05-06;31.8;20.3;84.0;77.0
La Paila;2011-05-06;30.9;19.6;82.0;389.0
Bugalagrande;2011-05-07;32.0;19.9;88.0;81.0
La Paila;2011-05-07;30.8;19.4;83.0;354.0
Bugalagrande;2011-05-08;30.5;20.0;86.0;87.0
La Paila;2011-05-08;29.9;19.8;84.0;280.0
Bugalagrande;2011-05-09;30.7;19.9;88.0;196.0
La Paila;2011-05-09;29.2;19.2;87.0;360.0
Bugalagrande;2011-05-10;32.2;19.4;84.0;78.0
La Paila;2011-05-10;31.0;19.0;83.0;420.0
Bugalagrande;2011-05-11;28.7;20.0;95.0;219.0
La Paila;2011-05-11;27.4;19.5;93.0;212.0
Bugalagrande;2011-05-12;31.2;19.2;91.0;151.0
La Paila;2011-05-12;29.7;18.9;86.0;354.0
Bugalagrande;2011-05-13;29.1;20.2;90.0;205.0
La Paila;2011-05-13;28.0;19.4;89.0;305.0
Bugalagrande;2011-05-14;24.4;19.5;231.0;231.0
La Paila;2011-05-14;23.4;18.4;163.0;163.0
Bugalagrande;2011-05-15;28.6;19.1;91.0;177.0
La Paila;2011-05-15;27.8;18.4;89.0;300.0
Bugalagrande;2011-05-16;30.4;19.7;87.0;123.0
La Paila;2011-05-16;28.3;18.7;83.0;336.0
Bugalagrande;2011-05-17;31.1;19.1;82.0;123.0
La Paila;2011-05-17;29.3;18.8;79.0;376.0
Bugalagrande;2011-05-18;30.0;19.2;81.0;129.0
La Paila;2011-05-18;29.0;18.2;79.0;383.0
Bugalagrande;2011-05-19;29.4;18.7;85.0;151.0
La Paila;2011-05-19;26.4;17.9;83.0;220.0
Bugalagrande;2011-05-20;31.4;17.1;85.0;68.7
La Paila;2011-05-20;29.5;16.5;83.0;395.0
Bugalagrande;2011-05-21;28.3;18.5;91.0;269.0
La Paila;2011-05-21;26.6;17.9;87.0;298.0
Bugalagrande;2011-05-22;28.1;19.3;87.0;298.0
La Paila;2011-05-22;27.5;18.5;88.0;281.0
Bugalagrande;2011-05-23;30.7;18.7;83.0;104.0
La Paila;2011-05-23;29.4;17.9;81.0;426.0
Bugalagrande;2011-05-24;30.8;19.7;86.0;62.7
La Paila;2011-05-24;29.6;18.8;87.0;321.0
Bugalagrande;2011-05-25;28.8;19.8;91.0;28.8
La Paila;2011-05-25;27.2;18.0;88.0;334.0
Bugalagrande;2011-05-26;30.5;18.7;86.0;422.0
La Paila;2011-05-26;29.1;18.8;86.0;302.0
Bugalagrande;2011-05-27;30.5;20.3;85.0;382.0
La Paila;2011-05-27;29.3;19.5;82.0;356.0
Bugalagrande;2011-05-28;29.1;20.3;85.0;356.0
La Paila;2011-05-28;28.1;19.0;84.0;256.0
Bugalagrande;2011-05-29;29.9;19.4;87.0;410.0
La Paila;2011-05-29;29.2;18.6;84.0;332.0
Bugalagrande;2011-05-30;31.0;19.0;85.0;450.0
La Paila;2011-05-30;30.3;19.0;81.0;340.0
Bugalagrande;2011-05-31;30.2;20.0;88.0;328.0
La Paila;2011-05-31;29.6;19.2;79.0;363.0
Bugalagrande;2011-06-01;28.7;20.5;89.0;292.0
La Paila;2011-06-01;27.7;20.3;85.0;240.0
Bugalagrande;2011-06-02;23.6;19.0;181.0;181.0
La Paila;2011-06-02;23.4;18.4;145.0;145.0
Bugalagrande;2011-06-03;27.5;18.6;90.0;339.0
La Paila;2011-06-03;26.1;18.3;90.0;221.0
Bugalagrande;2011-06-04;25.2;18.5;93.0;217.0
La Paila;2011-06-04;24.6;17.8;92.0;176.0
Bugalagrande;2011-06-05;30.7;18.4;85.0;483.0
La Paila;2011-06-05;28.7;17.6;83.0;355.0
Bugalagrande;2011-06-06;30.8;19.3;85.0;514.0
La Paila;2011-06-06;28.6;18.8;82.0;387.0
Bugalagrande;2011-06-07;29.5;19.2;88.0;333.0
La Paila;2011-06-07;28.0;18.8;86.0;269.0
Bugalagrande;2011-06-08;32.1;18.1;82.0;495.0
La Paila;2011-06-08;30.3;18.0;81.0;374.0
Bugalagrande;2011-06-09;31.6;20.0;84.0;432.0
La Paila;2011-06-09;30.3;18.8;82.0;322.0
Bugalagrande;2011-06-10;33.2;19.1;82.0;462.0
La Paila;2011-06-10;31.3;19.0;82.0;379.0
Bugalagrande;2011-06-11;32.5;19.4;82.0;476.0
La Paila;2011-06-11;31.1;18.8;81.0;388.0
Bugalagrande;2011-06-12;32.2;18.4;81.0;506.0
La Paila;2011-06-12;30.4;17.8;79.0;313.0
Bugalagrande;2011-06-13;33.4;18.9;78.0;517.0
La Paila;2011-06-13;33.2;18.3;77.0;423.0
Bugalagrande;2011-06-14;30.0;20.4;87.0;302.0
La Paila;2011-06-14;29.2;19.7;82.0;284.0
Bugalagrande;2011-06-15;29.7;18.7;85.0;341.0
La Paila;2011-06-15;29.2;18.5;81.0;289.0
Bugalagrande;2011-06-16;28.3;18.4;85.0;306.0
La Paila;2011-06-16;27.9;17.9;82.0;254.0
Bugalagrande;2011-06-17;30.3;19.5;85.0;362.0
La Paila;2011-06-17;28.5;18.9;84.0;275.0
Bugalagrande;2011-06-18;28.9;20.1;87.0;306.0
La Paila;2011-06-18;27.9;18.5;87.0;237.0
Bugalagrande;2011-06-19;28.8;19.1;92.0;317.0
La Paila;2011-06-19;28.4;18.3;86.0;265.0
Bugalagrande;2011-06-20;32.1;19.3;84.0;386.0
La Paila;2011-06-20;29.9;18.1;83.0;352.0
Bugalagrande;2011-06-21;32.0;19.0;81.0;419.0
La Paila;2011-06-21;30.4;17.3;79.0;391.0
Bugalagrande;2011-06-22;31.7;19.0;82.0;403.0
La Paila;2011-06-22;30.3;17.9;83.0;329.0
Bugalagrande;2011-06-23;29.5;20.2;89.0;296.0
La Paila;2011-06-23;27.2;19.4;86.0;253.0
Bugalagrande;2011-06-24;29.0;19.1;85.0;369.0
La Paila;2011-06-24;29.0;18.1;86.0;328.0
Bugalagrande;2011-06-25;28.2;18.5;87.0;326.0
La Paila;2011-06-25;27.1;17.9;87.0;280.0
Bugalagrande;2011-06-26;29.2;17.2;84.0;432.0
La Paila;2011-06-26;27.8;17.0;84.0;343.0
Bugalagrande;2011-06-27;30.6;18.9;86.0;426.0
La Paila;2011-06-27;28.7;18.4;87.0;322.0
Bugalagrande;2011-06-28;31.7;16.8;82.0;539.0
La Paila;2011-06-28;30.6;16.5;80.0;397.0
Bugalagrande;2011-06-29;30.8;18.3;85.0;401.0
La Paila;2011-06-29;29.9;18.3;81.0;339.0
Bugalagrande;2011-06-30;29.2;18.3;90.0;319.0
La Paila;2011-06-30;27.7;17.6;86.0;280.0
Bugalagrande;2011-07-01;29.2;18.6;86.0;478.0
La Paila;2011-07-01;28.8;17.9;85.0;361.0
Bugalagrande;2011-07-02;29.7;18.6;87.0;366.0
La Paila;2011-07-02;28.0;18.1;89.0;247.0
Bugalagrande;2011-07-03;31.2;17.3;83.0;493.0
La Paila;2011-07-03;29.9;16.6;83.0;380.0
Bugalagrande;2011-07-04;30.7;18.6;83.0;472.0
La Paila;2011-07-04;29.5;17.6;85.0;342.0
Bugalagrande;2011-07-05;30.5;17.5;83.0;451.0
La Paila;2011-07-05;29.1;16.7;83.0;354.0
Bugalagrande;2011-07-06;29.1;18.7;91.0;332.0
La Paila;2011-07-06;28.8;17.7;90.0;299.0
Bugalagrande;2011-07-07;30.4;18.2;86.0;251.0
La Paila;2011-07-07;29.3;16.7;86.0;400.0
Bugalagrande;2011-07-08;31.8;18.0;82.0;314.0
La Paila;2011-07-08;30.0;17.3;81.0;379.0
Bugalagrande;2011-07-09;30.7;18.1;86.0;236.0
La Paila;2011-07-09;29.8;17.4;84.0;315.0
Bugalagrande;2011-07-10;30.6;18.6;82.0;296.0
La Paila;2011-07-10;29.2;18.0;80.0;342.0
Bugalagrande;2011-07-11;30.0;18.8;81.0;284.0
La Paila;2011-07-11;29.3;18.0;82.0;352.0
Bugalagrande;2011-07-12;29.9;19.5;88.0;286.0
La Paila;2011-07-12;28.8;18.4;86.0;349.0
Bugalagrande;2011-07-13;27.3;19.1;90.0;326.0
La Paila;2011-07-13;26.0;18.3;89.0;244.0
Bugalagrande;2011-07-14;28.9;18.8;86.0;445.0
La Paila;2011-07-14;28.1;17.6;84.0;314.0
Bugalagrande;2011-07-15;28.9;18.6;90.0;416.0
La Paila;2011-07-15;27.2;17.5;88.0;337.0
Bugalagrande;2011-07-16;29.5;18.9;84.0;516.0
La Paila;2011-07-16;28.9;18.2;83.0;364.0
Bugalagrande;2011-07-17;29.3;18.6;91.0;345.0
La Paila;2011-07-17;28.3;16.9;88.0;278.0
Bugalagrande;2011-07-18;30.1;19.0;86.0;449.0
La Paila;2011-07-18;28.8;17.5;84.0;364.0
Bugalagrande;2011-07-19;31.5;20.1;81.0;531.0
La Paila;2011-07-19;30.0;18.2;81.0;393.0
Bugalagrande;2011-07-20;32.9;19.8;82.0;502.0
La Paila;2011-07-20;31.3;18.2;82.0;387.0
Bugalagrande;2011-07-21;30.6;18.9;84.0;491.0
La Paila;2011-07-21;29.2;17.8;85.0;303.0
Bugalagrande;2011-07-22;31.8;17.6;81.0;525.0
La Paila;2011-07-22;30.3;17.4;82.0;384.0
Bugalagrande;2011-07-23;32.2;19.6;81.0;505.0
La Paila;2011-07-23;30.6;18.8;81.0;350.0
Bugalagrande;2011-07-24;31.9;17.7;82.0;484.0
La Paila;2011-07-24;30.0;16.9;82.0;356.0
Bugalagrande;2011-07-25;31.1;19.2;81.0;360.0
La Paila;2011-07-25;29.5;17.4;81.0;323.0
Bugalagrande;2011-07-26;31.4;19.2;80.0;431.0
La Paila;2011-07-26;29.8;18.2;80.0;302.0
Bugalagrande;2011-07-27;31.6;20.4;81.0;495.0
La Paila;2011-07-27;29.4;18.9;84.0;270.0
Bugalagrande;2011-07-28;26.7;18.8;92.0;235.0
La Paila;2011-07-28;26.0;17.7;93.0;233.0
Bugalagrande;2011-07-29;24.8;18.6;95.0;251.0
La Paila;2011-07-29;22.9;17.5;95.0;239.0
Bugalagrande;2011-07-30;25.9;18.5;94.0;236.0
La Paila;2011-07-30;24.4;17.4;93.0;241.0
Bugalagrande;2011-07-31;28.4;18.6;89.0;374.0
La Paila;2011-07-31;27.8;17.8;88.0;328.0
Bugalagrande;2011-08-01;30.3;17.5;86.0;464.0
La Paila;2011-08-01;28.8;16.1;85.0;386.0
Bugalagrande;2011-08-02;30.8;18.3;83.0;454.0
La Paila;2011-08-02;29.8;17.3;84.0;403.0
Bugalagrande;2011-08-03;30.4;19.1;88.0;417.0
La Paila;2011-08-03;29.9;18.0;87.0;395.0
Bugalagrande;2011-08-04;31.4;18.2;84.0;493.0
La Paila;2011-08-04;29.5;17.2;86.0;421.0
Bugalagrande;2011-08-05;33.9;20.4;78.0;538.0
La Paila;2011-08-05;31.6;19.1;79.0;473.0
Bugalagrande;2011-08-06;33.1;17.4;77.0;551.0
La Paila;2011-08-06;31.8;16.6;79.0;466.0
Bugalagrande;2011-08-07;32.6;17.6;77.0;489.0
La Paila;2011-08-07;31.9;16.8;77.0;451.0
Bugalagrande;2011-08-08;33.4;16.2;76.0;485.0
La Paila;2011-08-08;32.0;15.5;74.0;468.0
Bugalagrande;2011-08-09;30.5;16.8;81.0;406.0
La Paila;2011-08-09;29.6;15.7;80.0;404.0
Bugalagrande;2011-08-10;32.8;17.7;76.0;556.0
La Paila;2011-08-10;31.2;16.3;78.0;440.0
Bugalagrande;2011-08-11;32.1;17.8;77.0;521.0
La Paila;2011-08-11;30.7;16.6;77.0;422.0
Bugalagrande;2011-08-12;30.2;18.4;79.0;387.0
La Paila;2011-08-12;28.8;17.8;82.0;322.0
Bugalagrande;2011-08-13;31.5;17.4;78.0;450.0
La Paila;2011-08-13;30.4;16.9;78.0;410.0
Bugalagrande;2011-08-14;30.5;18.9;80.0;501.0
La Paila;2011-08-14;29.4;17.4;79.0;325.0
Bugalagrande;2011-08-15;27.7;18.5;84.0;285.0
La Paila;2011-08-15;28.0;17.0;80.0;326.0
Bugalagrande;2011-08-16;29.5;18.3;82.0;370.0
La Paila;2011-08-16;29.2;17.4;80.0;375.0
Bugalagrande;2011-08-17;31.9;17.8;79.0;396.0
La Paila;2011-08-17;30.1;17.2;79.0;382.0
Bugalagrande;2011-08-18;32.2;19.0;79.0;444.0
La Paila;2011-08-18;30.4;18.6;77.0;394.0
Bugalagrande;2011-08-19;29.3;18.8;90.0;244.0
La Paila;2011-08-19;28.4;17.3;88.0;263.0
Bugalagrande;2011-08-20;27.6;18.4;88.0;323.0
La Paila;2011-08-20;27.0;17.0;87.0;288.0
Bugalagrande;2011-08-21;30.1;18.5;82.0;441.0
La Paila;2011-08-21;29.2;18.0;84.0;408.0
Bugalagrande;2011-08-22;31.0;19.4;82.0;417.0
