HACIENDA;PLUV;Fecha;Precipitaci?n (mm);;;
Gertrudis ;503;13/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;13/01/2020;0;;;
San Nicolas;505;13/01/2020;0;;;
San Nicolas;506;13/01/2020;0;;;
Valparaiso ;307;13/01/2020;0;;;
Valparaiso ;308;13/01/2020;0;;;
Ukrania Morillo;501;13/01/2020;0;;;
Peralonso El Mateo;403;13/01/2020;0;;;
Peralonso ;404;13/01/2020;0;;;
1/2 Luna Caseta Caida ;411;13/01/2020;0;;;
Peralonso Los Chivos;405;13/01/2020;0;;;
Normandia;406;13/01/2020;0;;;
Normandia - Duran;407;13/01/2020;0;;;
Normandia;408;13/01/2020;0;;;
Normandia - Estacion Drenaje;409;13/01/2020;0;;;
Morillo ;502;14/01/2020;0;;;
La Luisa 2;207;14/01/2020;0;;;
La Luisa 2;208;14/01/2020;0;;;
La Luisa 2;209;14/01/2020;0;;;
La Luisa 2;210;14/01/2020;0;;;
Zambrano;213;14/01/2020;0;;;
San Carlos;700;14/01/2020;0;;;
La Luisa 1;211;14/01/2020;0;;;
La Luisa 1;212;14/01/2020;0;;;
Lagunas ;214;14/01/2020;0;;;
Lagunas ;215;14/01/2020;0;;;
Paila Arriba;303;14/01/2020;0;;;
Riopaila La Ranchera;304;14/01/2020;0;;;
Riopaila La Pista;305;14/01/2020;0;;;
Riopaila Agricola;417;14/01/2020;0;;;
Mangos;701;14/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;14/01/2020;0;;;
Venecia 1;401;14/01/2020;0;;;
Venecia 2;402;14/01/2020;0;;;
Tequendama ;412;14/01/2020;0;;;
Ukrania Venecia;414;14/01/2020;0;;;
Gertrudis ;503;14/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;14/01/2020;0;;;
San Nicolas;505;14/01/2020;0;;;
San Nicolas;506;14/01/2020;0;;;
Valparaiso ;307;14/01/2020;0;;;
Valparaiso ;308;14/01/2020;0;;;
Ukrania Morillo;501;14/01/2020;0;;;
Peralonso El Mateo;403;14/01/2020;0;;;
Peralonso ;404;14/01/2020;0;;;
1/2 Luna Caseta Caida ;411;14/01/2020;0;;;
Peralonso Los Chivos;405;14/01/2020;0;;;
Normandia;406;14/01/2020;0;;;
Normandia - Duran;407;14/01/2020;0;;;
Normandia;408;14/01/2020;0;;;
Normandia - Estacion Drenaje;409;14/01/2020;0;;;
Morillo ;502;15/01/2020;0;;;
La Luisa 2;207;15/01/2020;0;;;
La Luisa 2;208;15/01/2020;0;;;
La Luisa 2;209;15/01/2020;0;;;
La Luisa 2;210;15/01/2020;0;;;
Zambrano;213;15/01/2020;0;;;
San Carlos;700;15/01/2020;0;;;
La Luisa 1;211;15/01/2020;0;;;
La Luisa 1;212;15/01/2020;0;;;
Lagunas ;214;15/01/2020;0;;;
Lagunas ;215;15/01/2020;0;;;
Paila Arriba;303;15/01/2020;0;;;
Riopaila La Ranchera;304;15/01/2020;0;;;
Riopaila La Pista;305;15/01/2020;0;;;
Riopaila Agricola;417;15/01/2020;0;;;
Mangos;701;15/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;15/01/2020;0;;;
Venecia 1;401;15/01/2020;0;;;
Venecia 2;402;15/01/2020;0;;;
Tequendama ;412;15/01/2020;0;;;
Ukrania Venecia;414;15/01/2020;0;;;
Gertrudis ;503;15/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;15/01/2020;0;;;
San Nicolas;505;15/01/2020;0;;;
San Nicolas;506;15/01/2020;0;;;
Valparaiso ;307;15/01/2020;0;;;
Valparaiso ;308;15/01/2020;0;;;
Ukrania Morillo;501;15/01/2020;0;;;
Peralonso El Mateo;403;15/01/2020;0;;;
Peralonso ;404;15/01/2020;0;;;
1/2 Luna Caseta Caida ;411;15/01/2020;0;;;
